PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,City,DayOfWeek,AQI_Level
115.4893351,100.7151351,56.03260833,67.92489343,5.762759195,76.91803845,27.4128477,13.49195093,7.342545278,Kolkata,Saturday,Unhealthy for Sensitive Groups
285.4607204,275.5314642,53.16086582,80.07477692,8.07378006,90.48406209,3.619318105,26.80952754,7.029188542,Mumbai,Monday,Very Unhealthy
220.9382128,437.7434596,181.7196432,26.54585408,7.625593205,155.2730568,38.61972817,84.81212246,1.409664887,Chennai,Saturday,Very Unhealthy
181.6042528,368.7901943,53.66150897,63.23766176,1.623609056,67.80074563,25.65581195,79.00915207,9.264437847,Kolkata,Thursday,Unhealthy
51.02549893,405.2149625,58.0301966,58.03110635,1.57756975,157.8404464,2.860194178,41.55784223,5.90048592,Delhi,Tuesday,Moderate
51.0183835,332.8038497,153.0826612,83.61737693,2.754926241,24.98285327,43.11690287,43.9129565,3.955392451,Delhi,Saturday,Moderate
22.13466559,349.2155166,92.69926928,90.79653193,3.674639791,142.0557343,20.91827317,58.01989902,7.687116543,Mumbai,Monday,Good
260.521963,426.1058693,156.4585586,3.191363605,4.143710256,154.0830976,-1.355077406,10.02169042,2.944971855,Delhi,Thursday,Very Unhealthy
182.3289285,132.3373243,17.74640073,68.05395207,6.829002447,40.90900098,26.34164522,31.71199024,7.088343452,Delhi,Monday,Unhealthy
213.8814104,249.8182322,100.0763828,7.079908314,0.661136278,83.1589105,7.659945351,28.74086277,0.877256472,Delhi,Tuesday,Very Unhealthy
11.07242582,118.3926265,11.55465204,55.78814918,0.443259772,38.13496169,35.18467259,32.54346521,8.474376357,Chennai,Wednesday,Good
291.1234064,493.9573239,17.21737467,30.18800745,3.979914573,130.1227019,35.89110368,82.53152583,4.757623047,Delhi,Sunday,Very Unhealthy
250.570579,472.5890764,181.7553034,32.06410675,7.001920552,101.0091206,43.94736779,35.17064709,6.548582686,Bangalore,Sunday,Very Unhealthy
67.64003765,29.31913757,32.15284737,36.58993334,2.015009895,118.0049689,20.09347655,27.23691898,2.601759288,Kolkata,Tuesday,Moderate
58.63836533,355.7318345,108.822033,62.88666001,6.450894364,43.40278438,17.74784399,55.38371147,6.93220027,Delhi,Friday,Moderate
59.10433041,463.3716755,85.16364251,34.73689664,2.672298566,45.99679655,32.67378027,87.90805327,7.836282621,Delhi,Thursday,Moderate
94.75146167,98.48191911,72.73194862,73.80450696,8.872252477,17.05454534,1.623532817,31.72147335,4.995525275,Delhi,Tuesday,Moderate
159.8031473,288.293163,180.4675024,41.64368379,8.967330448,64.75148098,22.34577569,17.06826185,6.368405779,Bangalore,Wednesday,Unhealthy
132.4237805,458.5892658,9.255562371,8.69861363,3.043143322,105.1565924,22.31238001,42.07642623,4.835096276,Delhi,Monday,Unhealthy for Sensitive Groups
90.91259636,26.63352951,134.4389888,78.80846456,2.376938164,155.8489354,-0.526343859,77.28866421,8.993868008,Delhi,Thursday,Moderate
185.4966039,351.735931,192.8619147,30.00431581,4.171909323,123.3776661,15.89920428,59.56214902,5.229757215,Kolkata,Saturday,Unhealthy
46.15068889,155.7010136,114.2327958,44.4111542,2.481262693,84.01737498,37.66423993,83.51140326,8.497182736,Bangalore,Tuesday,Good
91.18267132,462.9541357,187.6803801,69.17350056,6.756600049,172.0304194,37.8076811,96.36329328,8.112844554,Bangalore,Wednesday,Moderate
113.0767438,485.8185401,15.19028646,34.5807034,8.278040377,132.2716841,-0.038116754,81.33962291,4.399795803,Delhi,Tuesday,Unhealthy for Sensitive Groups
139.5406453,472.6905797,86.66469722,7.545394302,6.763612096,168.1280845,-0.463955863,64.3422771,2.685802673,Bangalore,Friday,Unhealthy for Sensitive Groups
